episode,scenario_id,result,steps,time_s,path_len,min_dist_human,start_to_goal,spl,space_compliance,avg_jerk
213,9,success,31,7.752619743347168,44.828964069485664,12.263102531433105,7.940981388092041,0.1771395247006686,1.0,1.3572924137115479
214,12,success,42,10.521305322647095,24.543371379375458,2.832136869430542,8.375995635986328,0.3412732304179259,1.0,0.4684688448905945
215,1,success,80,20.00797724723816,44.75726649467833,0.7502918243408203,16.38355255126953,0.36605346649616205,1.0,0.39033839106559753
216,8,collision,16,4.012529373168945,66.84769374132156,1.1755188703536987,16.521331787109375,0.0,1.0,4.871699810028076
217,9,success,32,8.006495952606201,53.51273626089096,7.516647815704346,8.280983924865723,0.15474790682527226,1.0,1.609486699104309
218,6,collision,39,9.759723663330078,18.316050097346306,0.9810428023338318,11.031310081481934,0.0,1.0,0.2950833737850189
219,1,success,86,21.529176235198975,88.61469588801265,1.1095296144485474,18.253942489624023,0.20599227144775797,1.0,0.8753604292869568
220,7,success,87,21.75326180458069,66.48680904507637,1.9490787982940674,21.31060791015625,0.3205238485081785,1.0,0.5489886403083801
221,7,success,72,18.015745639801025,43.07289731502533,1.5482343435287476,17.90993309020996,0.415805163029104,1.0,0.388965368270874
222,12,success,39,9.75077748298645,41.514821112155914,17.75779914855957,8.375995635986328,0.20175916483797063,1.0,0.9887338280677795
223,7,success,67,16.75115942955017,41.79208533465862,0.7363972663879395,17.009836196899414,0.4070109462279686,1.0,0.41941210627555847
224,11,success,28,7.003062009811401,13.415430903434753,7.516647815704346,7.264186382293701,0.5414799147773816,1.0,0.32340922951698303
